# Livox official MID-360 scan trajectory, uniformly sampled to 2400 rays.
# Source: https://github.com/Livox-SDK/livox_laser_simulation/blob/master/scan_mode/mid360.csv
# Columns retain the official format: Time/s,Azimuth/deg,Zenith/deg.
# The native plugin reads the directions; point timestamps come from the actual
# Gazebo raycast-request time of each acquisition batch.
Time/s,Azimuth/deg,Zenith/deg
89038,204.3,92.1821
89372,91.581,90.45653
89705,336.13,92.6007
90039,225.41,94.8622
90372,112.82,91.353
90706,359.49,93.4514
91039,248.01,93.1994
91373,137,92.0514
91706,22.996,89.962607
92040,273.03,89.8066
92373,163.02,85.1948
92707,50.117,82.8438
93040,301.46,82.8408
93374,188.76,79.227
93707,77.719,77.111
94041,323.51,75.914
94374,217.66,73.436
94708,105.1,70.844
95041,353.9,71.492
95374,247.48,67.946
95708,134.85,66.222
96041,26.75,66.694
96375,280.28,63.483
96708,167.39,61.161
97042,61.214,59.232
97375,314.03,56.481
97709,205.09,51.7
98042,97.337,52.165
98376,352.75,48.753
98709,241.14,43.145
99043,135.29,44.104
99376,33.408,40.955
99710,285.18,41.195
100043,180.38,42.257
100377,74.45,46.296
100710,330.65,42.78
101043,225.09,45.766
101377,118.72,50.144
101710,11.945,49.051
102044,263.49,54.235
102377,159.03,55.553
102711,51.023,55.639
103044,300.82,60.957
103378,192.86,60.822
103711,83.99,62.106
104045,331.38,63
104378,225.05,66.536
104712,115.34,66.371
105045,1.1356,69.536
105379,253.93,72.784
105712,143.75,72.045
106046,33.225,75.97
106379,284.35,78.541
106712,171.84,78.35
107046,62.364,82.1543
107379,313.12,84.5358
107713,203.44,86.1404
108046,89.6,88.4147
108380,340.81,91.4021
108713,227.44,89.819
109047,113.6,91.3942
109380,4.125,93.8001
109714,248.68,93.0632
110047,135.69,93.4513
110381,20.644,95.3517
110714,270.51,92.2809
111048,156.4,91.9578
111381,43.871,93.4632
111715,294.47,89.84864
112048,180.22,88.8224
112382,70.524,86.383
112715,320.9,83.7291
113048,207.58,83.7609
113382,98.696,80.2657
113715,349.3,77.514
114049,237.56,73.656
114382,128.56,74.353
114716,20.275,70.636
115049,265.58,68.468
115383,156.94,68.723
115716,49.202,64.557
116050,297.47,64.335
116383,188.93,63.188
116717,81.609,63
117050,330.04,58.177
117384,222.95,58.349
117717,117.52,55.739
118051,7.5807,50.764
118384,261.89,52.062
118717,156.06,47.687
119051,47.147,43.761
119384,304.63,46.421
119718,197.15,42.055
120051,91.91,40.825
120385,343.47,41.397
120718,242.74,42.45
121052,136,41.979
121385,26.199,48.082
121719,282.86,50.192
122052,174.02,50.45
122386,66.755,54.577
122719,320.24,56.958
123053,214.52,58.001
123386,101.53,61.556
123720,356.04,64.025
124053,246.73,63.424
124387,134.06,66.089
124720,28.662,68.776
125053,276.16,68.476
125387,164.3,71.785
125720,58.626,73.209
126054,304.47,75.233
126387,193.82,77.64
126721,82.234,81.6339
127054,332.68,81.1157
127388,220.52,84.3096
127721,111.51,88.3113
128055,0.92817,88.0785
128388,247.71,91.3986
128722,136.51,91.9039
129055,24.899,92.2243
129389,270.86,90.50583
129722,159.38,94.4027
130056,47.962,91.9826
130389,292.09,91.3164
130722,181.57,93.0113
131056,69.625,89.36419
131389,313.97,89.70399
131723,203.64,89.88795
132056,92.635,85.1822
132390,340.06,85.6613
132723,229.96,84.3629
133057,120.8,82.7428
133390,7.6537,80.1414
133724,259.23,79.856
134057,150.67,75.899
134391,38.37,73.346
134724,290.89,73.713
135058,178.73,70.093
135391,68.202,67.857
135725,314.27,66.081
136058,209.45,64.128
136391,99.137,62.031
136725,346.83,61.002
137058,241.34,57.397
137392,129.44,54.538
137725,23.115,55.359
138059,278.19,52.049
138392,167.15,48.891
138726,63.232,47.733
139059,318.59,45.485
139393,213.14,40.906
139726,107.2,43.753
140060,5.5893,42.063
140393,258.6,38.464
140727,151.59,42.857
141060,50.968,42.612
141394,300.46,45.86
141727,192.8,49.175
142061,83.012,54.358
142394,337.82,53.276
142727,229.23,56.734
143061,120.27,61.092
143394,11.433,60.664
143728,261.27,64.973
144061,155.22,66.733
144395,45.787,66.619
144728,294.93,70.942
145062,185.87,70.855
145395,76.258,71.826
145729,323.18,72.144
146062,216.07,75.987
146396,105.66,75.734
146729,351.23,78.446
147063,243.06,82.2589
147396,131.98,81.4504
147730,20.423,85.7075
148063,270.26,88.5107
148396,156.92,87.628
148730,45.692,91.5098
149063,294.8,93.3558
149397,183.37,93.871
149730,68.755,94.8694
150064,318.35,96.2074
150397,205.21,92.435
150731,91.107,92.2433
151064,341.37,92.3913
151398,226.65,89.92077
151731,114.26,88.5732
152065,359.52,88.6869
152398,251.43,84.6322
152732,138.04,83.1817
153065,26.914,83.6277
153399,279.41,80.1663
153732,165.79,78.538
154066,57.77,76.559
154399,309.29,74.258
154732,196.51,73.872
155066,88.681,71.042
155399,339.97,68.476
155733,228.66,64.446
156066,120.47,65.165
156400,12.814,61.325
156733,258.32,57.982
157067,150.83,58.076
157400,43.998,53.379
157734,293.64,52.669
158067,186.81,51.407
158401,81.448,51.94
158734,332.19,46.206
159068,227.34,47.769
159401,124.29,46.376
159735,18.114,42.008
160068,272.97,46.151
160401,170.15,43.72
160735,63.686,42.502
161068,318.42,47.941
161402,211.92,46.625
161735,105,48.081
162069,353.59,50.567
162402,249.97,53.152
162736,140.5,53.964
163069,27.766,59.148
163403,282.31,61.66
163736,171.65,61.788
164070,62.914,65.474
164403,315.14,67.621
164737,208.07,68.913
165070,94.69,71.272
165404,348.31,73.95
165737,238.03,73.342
166070,125.54,76.818
166404,18.779,78.641
166737,265.63,78.088
167071,153.36,81.2157
167404,46.199,83.3514
167738,291.49,85.0292
168071,179.83,87.3851
168405,66.983,91.4872
168738,316.04,90.29311
169072,202.71,92.9214
169405,91.519,96.3861
169739,339.98,94.4077
170072,225.63,96.4052
170406,113.82,94.7261
170739,2.1706,92.9556
171073,248.91,89.29727
171406,137.07,91.0979
171740,27.146,87.1114
172073,271.97,85.063
172406,162.57,85.2491
172740,52.195,81.058
173073,297.15,80.354
173407,188.36,80.0554
173740,78.611,75.53
174074,327.17,75.77
174407,218.2,74.646
174741,110.28,73.624
175074,357.47,70.679
175408,249.99,70.732
175741,142.21,67.214
176075,30.182,64.025
176408,283.63,64.59
176742,171.95,60.246
177075,62.104,57.282
177409,308.93,54.363
177742,205.75,52.715
178075,96.962,49.977
178409,346.72,48.726
178742,243.57,45.335
179076,134.59,42.476
179409,30.344,45.642
179743,288.18,43.721
180076,180.24,42.435
180410,77.321,43.935
180743,333.86,44.357
181077,230.64,42.75
181410,120.91,48.18
181744,18.249,49.105
182077,269.8,48.552
182411,158.62,53.403
182744,55.384,54.806
183078,302.05,57.835
183411,192.19,60.778
183744,87.386,60.873
184078,333.83,64.433
184411,224.16,67.197
184745,114.32,71.05
185078,4.5499,70.343
185412,253.92,74.033
185745,146.94,76.303
186079,36.778,76.068
186412,285.58,80.189
186746,175.54,80.4397
187079,65.093,81.5075
187413,311.34,81.5603
187746,202.89,86.0235
188080,91.367,85.4546
188413,336.23,87.7088
188747,226.32,91.592
189080,114.21,89.65642
189414,1.0203,93.2785
189747,249.36,94.894
190080,135.82,92.1693
190414,23.173,94.3506
190747,271.76,94.1119
191081,160.63,92.3401
191414,46.236,91.567
191748,296.63,90.83735
192081,185.41,85.9848
192415,72.079,84.5425
192748,323.99,83.7472
193082,210.39,80.7344
193415,99.087,78.92
193749,345.16,78.401
194082,238.71,74.976
194416,125.84,73.162
194749,15.897,73.747
195083,269.43,70.951
195416,156.04,68.75
195749,48.817,68.759
196083,301.23,65.062
196416,188.89,63.891
196750,81.959,61.18
197083,334.08,58.218
197417,223.53,53.241
197750,116.93,54.042
198084,10.798,49.691
198417,258.05,45.051
198751,153.1,46.125
199084,49.265,41.34
199418,301.67,42.199
199751,197.23,42.921
200085,92.629,46.158
200418,347.34,42.311
200752,241.11,46.87
201085,138.03,48.056
201419,32.816,46.71
201752,283.55,52.515
202085,179.64,52.576
202419,70.774,53.262
202752,322.22,58.655
203086,213.44,58.551
203419,104.28,60.124
203753,351.12,61.89
204086,245.85,64.579
204420,135.14,64.835
204753,21.845,68.775
205087,275.44,71.362
205420,164.14,70.954
205754,54.749,74.625
206087,306.27,76.907
206421,198.15,78.782
206754,84.53,80.6257
207088,337.03,84.0192
207421,225.55,83.4944
207754,112.5,86.808
208088,4.009,89.02368
208421,249.88,87.711
208755,136.65,90.36744
209088,27.504,91.9716
209422,272.03,92.4664
209755,159.23,93.5797
210089,44.851,96.3856
210422,293.83,92.9837
210756,179.79,93.8591
211089,67.947,94.9713
211423,317.7,91.0123
211756,203.42,91.1682
212090,93.35,87.97
212423,343.23,85.1454
212757,231.56,80.9477
213090,120.8,81.7521
213423,10.835,78.93
213757,258.02,75.41
214090,150.04,75.672
214424,40.596,71.77
214757,285.9,70.583
215091,178.21,70.6
215424,68.994,66.182
215758,318.28,66.33
216091,210.04,65.198
216425,103.06,64.481
216758,350.6,60.494
217092,244.27,60.613
217425,137.56,56.967
217759,26.549,52.587
218092,281.77,53.686
218426,171.94,48.462
218759,64.453,45.231
219093,314.27,42.344
219426,213.73,42.41
219759,108.08,41.133
220093,359.96,42.409
220426,259.32,41.346
220760,152.06,41.576
221093,44.392,47.553
221427,301.81,48.27
221760,192.28,49.524
222094,86.474,52.698
222427,340.51,54.673
222761,234.87,54.978
223094,122.33,59.633
223428,17.502,61.308
223761,266.85,61.014
224095,154.57,64.533
224428,49.753,66.273
224762,295.76,68.165
225095,185.27,70.438
225428,79.296,70.914
225762,325.55,73.687
226095,215.37,76.266
226429,104.93,80.2995
226762,354.38,79.591
227096,243.17,83.3505
227429,134.81,86.4784
227763,23.542,86.1059
228096,271.42,90.31837
228430,159.81,90.31941
228763,48.079,90.78711
229097,293.5,89.71641
229430,183.08,93.5845
229764,70.929,91.3233
230097,315.08,92.1482
230431,203.77,94.339
230764,92.197,90.3146
231098,338.33,91.9494
231431,226.87,91.4976
231764,114.59,87.3011
232098,2.6163,87.6291
232431,252.55,86.0926
232765,143.33,83.6528
233098,29.739,82.0379
233432,281.85,81.104
233765,172.09,76.681
234099,59.412,74.888
234432,312.72,74.567
234766,199.66,71.448
235099,88.941,69.553
235433,335.44,68.613
235766,229.93,65.735
236100,117.24,63.165
236433,8.3171,63.743
236767,262.74,61.073
237100,149.82,57.635
237433,44.124,58.014
237767,297.75,53.919
238100,186.99,52.017
238434,82.009,49.582
238767,336.42,46.67
239101,228.98,41.252
239434,124.51,44.244
